_name_key,name_en,source,external_source_id,source_category,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g
bread whole wheat commercially prepared,"Bread, whole-wheat, commercially prepared",USDA_FDC_SR_LEGACY,18075,Baked Products,OTHER,252.0,12.45,42.71,3.5
broccoli raw,"Broccoli, raw",USDA_FDC_FOUNDATION,321900,Vegetables and Vegetable Products,VEGETABLE,32.0,2.57,6.29,0.34
broccoli raw,"Broccoli, raw",USDA_FDC_FOUNDATION,11090,Vegetables and Vegetable Products,VEGETABLE,32.0,2.57,6.27,0.34
broccoli raw,"Broccoli, raw",USDA_FDC_SR_LEGACY,11090,Vegetables and Vegetable Products,VEGETABLE,34.0,2.82,6.64,0.37
brussels sprouts raw,"Brussels sprouts, raw",USDA_FDC_FOUNDATION,11098,Vegetables and Vegetable Products,VEGETABLE,48.78,3.98,9.62,0.56
brussels sprouts raw,"Brussels sprouts, raw",USDA_FDC_SR_LEGACY,11098,Vegetables and Vegetable Products,VEGETABLE,43.0,3.38,8.95,0.3
cabbage red raw,"Cabbage, red, raw",USDA_FDC_FOUNDATION,11112,Vegetables and Vegetable Products,VEGETABLE,29.94,1.24,6.79,0.21
cabbage red raw,"Cabbage, red, raw",USDA_FDC_SR_LEGACY,11112,Vegetables and Vegetable Products,VEGETABLE,31.0,1.43,7.37,0.16
carrots baby raw,"Carrots, baby, raw",USDA_FDC_FOUNDATION,11960,Vegetables and Vegetable Products,VEGETABLE,38.25,0.8,9.08,0.14
carrots baby raw,"Carrots, baby, raw",USDA_FDC_SR_LEGACY,11960,Vegetables and Vegetable Products,VEGETABLE,35.0,0.64,8.24,0.13
carrots frozen unprepared includes foods for usda s food distribution program,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",USDA_FDC_FOUNDATION,326458,Vegetables and Vegetable Products,VEGETABLE,37.0,0.81,7.92,0.47
carrots frozen unprepared includes foods for usda s food distribution program,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",USDA_FDC_SR_LEGACY,11130,Vegetables and Vegetable Products,VEGETABLE,36.0,0.78,7.9,0.46
cauliflower raw,"Cauliflower, raw",USDA_FDC_FOUNDATION,11135,Vegetables and Vegetable Products,VEGETABLE,22.85,1.64,4.72,0.24
cauliflower raw,"Cauliflower, raw",USDA_FDC_SR_LEGACY,11135,Vegetables and Vegetable Products,VEGETABLE,25.0,1.92,4.97,0.28
celery raw,"Celery, raw",USDA_FDC_FOUNDATION,11143,Vegetables and Vegetable Products,VEGETABLE,14.83,0.49,3.32,0.16
celery raw,"Celery, raw",USDA_FDC_SR_LEGACY,11143,Vegetables and Vegetable Products,VEGETABLE,14.0,0.69,2.97,0.17
cheese cottage lowfat 2 milkfat,"Cheese, cottage, lowfat, 2% milkfat",USDA_FDC_FOUNDATION,1015,Dairy and Egg Products,EGGS,84.0,11.0,4.31,2.3
cheese cottage lowfat 2 milkfat,"Cheese, cottage, lowfat, 2% milkfat",USDA_FDC_SR_LEGACY,1015,Dairy and Egg Products,EGGS,81.0,10.45,4.76,2.27
cheese dry white queso seco,"Cheese, dry white, queso seco",USDA_FDC_FOUNDATION,329830,Dairy and Egg Products,EGGS,326.0,24.5,2.07,24.3
cheese dry white queso seco,"Cheese, dry white, queso seco",USDA_FDC_FOUNDATION,1227,Dairy and Egg Products,EGGS,326.0,24.5,2.07,24.3
