name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason,_kept_source,_kept_external_source_id,_kept_name_en
"Beans, snap, green, raw",,,VEGETABLE,31.0,1.83,6.97,0.22,,USDA_FDC_SR_LEGACY,11052,2018-04,True,,beans snap green raw,3,,USDA_FDC_FOUNDATION,11052,"Beans, snap, green, raw"
"Apples, red delicious, with skin, raw",,,FRUIT,55.62,0.19,14.78,0.21,,USDA_FDC_FOUNDATION,9500,2026-04-30,True,,apples red delicious with skin raw,1,,USDA_FDC_FOUNDATION,1105430,"Apples, red delicious, with skin, raw"
"Apples, honeycrisp, with skin, raw",,,FRUIT,54.03,0.1,14.68,0.1,,USDA_FDC_FOUNDATION,9501,2026-04-30,True,,apples honeycrisp with skin raw,1,,USDA_FDC_FOUNDATION,1105547,"Apples, honeycrisp, with skin, raw"
"Beans, snap, green, canned, regular pack, drained solids",,,VEGETABLE,21.0,1.05,4.19,0.41,,USDA_FDC_SR_LEGACY,11056,2018-04,True,,beans snap green canned regular pack drained solids,3,,USDA_FDC_FOUNDATION,11056,"Beans, snap, green, canned, regular pack, drained solids"
"Apples, granny smith, with skin, raw",,,FRUIT,52.96,0.27,14.14,0.14,,USDA_FDC_FOUNDATION,9502,2026-04-30,True,,apples granny smith with skin raw,1,,USDA_FDC_FOUNDATION,1105664,"Apples, granny smith, with skin, raw"
"Apples, gala, with skin, raw",,,FRUIT,54.87,0.13,14.77,0.15,,USDA_FDC_FOUNDATION,9503,2026-04-30,True,,apples gala with skin raw,1,,USDA_FDC_FOUNDATION,1105781,"Apples, gala, with skin, raw"
"Apples, fuji, with skin, raw",,,FRUIT,58.2,0.15,15.65,0.16,,USDA_FDC_FOUNDATION,9504,2026-04-30,True,,apples fuji with skin raw,1,,USDA_FDC_FOUNDATION,1105897,"Apples, fuji, with skin, raw"
"Beets, raw",,,VEGETABLE,43.0,1.61,9.56,0.17,,USDA_FDC_SR_LEGACY,11080,2018-04,True,,beets raw,3,,USDA_FDC_FOUNDATION,11080,"Beets, raw"
"Beet greens, raw",,,VEGETABLE,22.0,2.2,4.33,0.13,,USDA_FDC_SR_LEGACY,11086,2018-04,True,,beet greens raw,3,,USDA_FDC_FOUNDATION,11086,"Beet greens, raw"
"Broccoli, raw",,,VEGETABLE,32.0,2.57,6.29,0.34,,USDA_FDC_FOUNDATION,321900,2026-04-30,True,,broccoli raw,1,,USDA_FDC_FOUNDATION,11090,"Broccoli, raw"
"Broccoli, raw",,,VEGETABLE,34.0,2.82,6.64,0.37,,USDA_FDC_SR_LEGACY,11090,2018-04,True,,broccoli raw,3,,USDA_FDC_FOUNDATION,11090,"Broccoli, raw"
"Brussels sprouts, raw",,,VEGETABLE,43.0,3.38,8.95,0.3,,USDA_FDC_SR_LEGACY,11098,2018-04,True,,brussels sprouts raw,3,,USDA_FDC_FOUNDATION,11098,"Brussels sprouts, raw"
"Cabbage, red, raw",,,VEGETABLE,31.0,1.43,7.37,0.16,,USDA_FDC_SR_LEGACY,11112,2018-04,True,,cabbage red raw,3,,USDA_FDC_FOUNDATION,11112,"Cabbage, red, raw"
"Cauliflower, raw",,,VEGETABLE,25.0,1.92,4.97,0.28,,USDA_FDC_SR_LEGACY,11135,2018-04,True,,cauliflower raw,3,,USDA_FDC_FOUNDATION,11135,"Cauliflower, raw"
"Celery, raw",,,VEGETABLE,14.0,0.69,2.97,0.17,,USDA_FDC_SR_LEGACY,11143,2018-04,True,,celery raw,3,,USDA_FDC_FOUNDATION,11143,"Celery, raw"
"Yogurt, plain, whole milk",,,EGGS,61.0,3.47,4.66,3.25,,USDA_FDC_SR_LEGACY,1116,2018-04,True,,yogurt plain whole milk,3,,USDA_FDC_FOUNDATION,1116,"Yogurt, plain, whole milk"
"Collards, raw",,,VEGETABLE,32.0,3.02,5.42,0.61,,USDA_FDC_SR_LEGACY,11161,2018-04,True,,collards raw,3,,USDA_FDC_FOUNDATION,11161,"Collards, raw"
"Cucumber, with peel, raw",,,VEGETABLE,15.0,0.65,3.63,0.11,,USDA_FDC_SR_LEGACY,11205,2018-04,True,,cucumber with peel raw,3,,USDA_FDC_FOUNDATION,11205,"Cucumber, with peel, raw"
"Eggplant, raw",,,VEGETABLE,25.0,0.98,5.88,0.18,,USDA_FDC_SR_LEGACY,11209,2018-04,True,,eggplant raw,3,,USDA_FDC_FOUNDATION,11209,"Eggplant, raw"
"Garlic, raw",,,VEGETABLE,149.0,6.36,33.06,0.5,,USDA_FDC_SR_LEGACY,11215,2018-04,True,,garlic raw,3,,USDA_FDC_FOUNDATION,11215,"Garlic, raw"
"Kale, raw",,,VEGETABLE,35.0,2.92,4.42,1.49,,USDA_FDC_SR_LEGACY,11233,2018-04,True,,kale raw,3,,USDA_FDC_FOUNDATION,11233,"Kale, raw"
"Kale, frozen, cooked, boiled, drained, without salt",,,VEGETABLE,36.0,2.94,5.3,1.21,,USDA_FDC_SR_LEGACY,11236,2018-04,True,,kale frozen cooked boiled drained without salt,3,,USDA_FDC_FOUNDATION,11236,"Kale, frozen, cooked, boiled, drained, without salt"
"Mushrooms, shiitake",,,VEGETABLE,36.39,2.41,8.17,0.2,,USDA_FDC_FOUNDATION,1750346,2026-04-30,True,,mushrooms shiitake,1,,USDA_FDC_FOUNDATION,11238,"Mushrooms, shiitake"
"Lettuce, cos or romaine, raw",,,VEGETABLE,17.0,1.24,3.24,0.26,,USDA_FDC_FOUNDATION,327923,2026-04-30,True,,lettuce cos or romaine raw,1,,USDA_FDC_FOUNDATION,11251,"Lettuce, cos or romaine, raw"
"Lettuce, cos or romaine, raw",,,VEGETABLE,17.0,1.23,3.29,0.3,,USDA_FDC_SR_LEGACY,11251,2018-04,True,,lettuce cos or romaine raw,3,,USDA_FDC_FOUNDATION,11251,"Lettuce, cos or romaine, raw"
"Egg, yolk, raw, frozen, pasteurized",,,EGGS,296.0,15.53,0.81,25.6,,USDA_FDC_SR_LEGACY,1126,2018-04,True,,egg yolk raw frozen pasteurized,3,,USDA_FDC_FOUNDATION,1126,"Egg, yolk, raw, frozen, pasteurized"
"Mushrooms, white button",,,VEGETABLE,24.87,2.89,4.08,0.37,,USDA_FDC_FOUNDATION,1750347,2026-04-30,True,,mushrooms white button,1,,USDA_FDC_FOUNDATION,11260,"Mushrooms, white button"
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",,,VEGETABLE,276.0,4.14,33.79,14.3,,USDA_FDC_SR_LEGACY,11296,2018-04,True,,onion rings breaded par fried frozen prepared heated in oven,3,,USDA_FDC_FOUNDATION,11296,"Onion rings, breaded, par fried, frozen, prepared, heated in oven"
"Parsnips, raw",,,VEGETABLE,75.0,1.2,17.99,0.3,,USDA_FDC_SR_LEGACY,11298,2018-04,True,,parsnips raw,3,,USDA_FDC_FOUNDATION,11298,"Parsnips, raw"
"Egg, whole, dried",,,EGGS,592.0,48.05,1.13,43.9,,USDA_FDC_SR_LEGACY,1133,2018-04,True,,egg whole dried,3,,USDA_FDC_FOUNDATION,1133,"Egg, whole, dried"
"Egg, yolk, dried",,,EGGS,669.0,33.63,0.66,59.13,,USDA_FDC_SR_LEGACY,1137,2018-04,True,,egg yolk dried,3,,USDA_FDC_FOUNDATION,1137,"Egg, yolk, dried"
"Spinach, mature",,,VEGETABLE,21.58,2.91,2.64,0.6,,USDA_FDC_FOUNDATION,1750353,2026-04-30,True,,spinach mature,1,,USDA_FDC_FOUNDATION,11457,"Spinach, mature"
"Squash, winter, acorn, raw",,,VEGETABLE,40.0,0.8,10.42,0.1,,USDA_FDC_SR_LEGACY,11482,2018-04,True,,squash winter acorn raw,3,,USDA_FDC_FOUNDATION,11482,"Squash, winter, acorn, raw"
"Squash, winter, butternut, raw",,,VEGETABLE,45.0,1.0,11.69,0.1,,USDA_FDC_SR_LEGACY,11485,2018-04,True,,squash winter butternut raw,3,,USDA_FDC_FOUNDATION,11485,"Squash, winter, butternut, raw"
"Turnips, raw",,,VEGETABLE,28.0,0.9,6.43,0.1,,USDA_FDC_SR_LEGACY,11564,2018-04,True,,turnips raw,3,,USDA_FDC_FOUNDATION,11564,"Turnips, raw"
"Tomatoes, crushed, canned",,,VEGETABLE,32.0,1.64,7.29,0.28,,USDA_FDC_SR_LEGACY,11693,2018-04,True,,tomatoes crushed canned,3,,USDA_FDC_FOUNDATION,11693,"Tomatoes, crushed, canned"
"Egg, white, raw, frozen, pasteurized",,,EGGS,48.0,10.2,1.04,0.0,,USDA_FDC_SR_LEGACY,1172,2018-04,True,,egg white raw frozen pasteurized,3,,USDA_FDC_FOUNDATION,1172,"Egg, white, raw, frozen, pasteurized"
"Egg, white, dried",,,EGGS,382.0,81.1,7.8,0.0,,USDA_FDC_SR_LEGACY,1173,2018-04,True,,egg white dried,3,,USDA_FDC_FOUNDATION,1173,"Egg, white, dried"
"Pickles, cucumber, dill or kosher dill",,,VEGETABLE,12.0,0.5,2.41,0.3,,USDA_FDC_SR_LEGACY,11937,2018-04,True,,pickles cucumber dill or kosher dill,3,,USDA_FDC_FOUNDATION,11937,"Pickles, cucumber, dill or kosher dill"
"Radicchio, raw",,,VEGETABLE,23.0,1.43,4.48,0.25,,USDA_FDC_SR_LEGACY,11952,2018-04,True,,radicchio raw,3,,USDA_FDC_FOUNDATION,11952,"Radicchio, raw"
"Fennel, bulb, raw",,,VEGETABLE,31.0,1.24,7.3,0.2,,USDA_FDC_SR_LEGACY,11957,2018-04,True,,fennel bulb raw,3,,USDA_FDC_FOUNDATION,11957,"Fennel, bulb, raw"
"Carrots, baby, raw",,,VEGETABLE,35.0,0.64,8.24,0.13,,USDA_FDC_SR_LEGACY,11960,2018-04,True,,carrots baby raw,3,,USDA_FDC_FOUNDATION,11960,"Carrots, baby, raw"
"Mushroom, oyster",,,VEGETABLE,33.32,2.9,6.94,0.19,,USDA_FDC_FOUNDATION,1750345,2026-04-30,True,,mushroom oyster,1,,USDA_FDC_FOUNDATION,11987,"Mushroom, oyster"
