name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason
"Sauce, tartar, ready-to-serve",,,MIXED_DISHES,211.0,1.0,13.3,16.7,,USDA_FDC_SR_LEGACY,27049,2018-04,True,,sauce tartar ready to serve,3,
"Sauce, barbecue, SWEET BABY RAY'S, original",,,MIXED_DISHES,192.0,0.95,46.08,0.43,,USDA_FDC_SR_LEGACY,27055,2018-04,True,,sauce barbecue sweet baby ray s original,3,
"Sauce, barbecue, BULL'S-EYE, original",,,MIXED_DISHES,170.0,0.91,39.95,0.67,,USDA_FDC_SR_LEGACY,27056,2018-04,True,,sauce barbecue bull s eye original,3,
"Sauce, barbecue, KC MASTERPIECE, original",,,MIXED_DISHES,160.0,1.0,37.92,0.52,,USDA_FDC_SR_LEGACY,27057,2018-04,True,,sauce barbecue kc masterpiece original,3,
"Sauce, barbecue, OPEN PIT, original",,,MIXED_DISHES,132.0,0.44,29.45,1.41,,USDA_FDC_SR_LEGACY,27058,2018-04,True,,sauce barbecue open pit original,3,
Wasabi,,,MIXED_DISHES,292.0,2.23,46.13,10.9,,USDA_FDC_SR_LEGACY,27064,2018-04,True,,wasabi,3,
"Dip, bean, original flavor",,,MIXED_DISHES,119.0,5.44,15.89,3.7,,USDA_FDC_SR_LEGACY,27065,2018-04,True,,dip bean original flavor,3,
"Sauce, horseradish",,,MIXED_DISHES,503.0,1.09,10.05,50.89,,USDA_FDC_SR_LEGACY,27066,2018-04,True,,sauce horseradish,3,
"Dip, FRITO'S, bean, original flavor",,,MIXED_DISHES,119.0,5.44,15.89,3.7,,USDA_FDC_SR_LEGACY,27068,2018-04,True,,dip frito s bean original flavor,3,
"Sauce, plum, ready-to-serve",,,MIXED_DISHES,184.0,0.89,42.81,1.04,,USDA_FDC_SR_LEGACY,6151,2018-04,True,,sauce plum ready to serve,3,
"Sauce, pizza, canned, ready-to-serve",,,MIXED_DISHES,54.0,2.18,8.66,1.15,,USDA_FDC_SR_LEGACY,6152,2018-04,True,,sauce pizza canned ready to serve,3,
"Soup, tomato bisque, canned, condensed",,,MIXED_DISHES,96.0,1.76,18.47,1.95,,USDA_FDC_SR_LEGACY,6158,2018-04,True,,soup tomato bisque canned condensed,3,
"Soup, tomato, canned, condensed",,,MIXED_DISHES,66.0,1.46,15.22,0.44,,USDA_FDC_SR_LEGACY,6159,2018-04,True,,soup tomato canned condensed,3,
"Soup, stock, beef, home-prepared",,,MIXED_DISHES,13.0,1.97,1.2,0.09,,USDA_FDC_SR_LEGACY,6170,2018-04,True,,soup stock beef home prepared,3,
"Soup, stock, chicken, home-prepared",,,MIXED_DISHES,36.0,2.52,3.53,1.2,,USDA_FDC_SR_LEGACY,6172,2018-04,True,,soup stock chicken home prepared,3,
"Soup, stock, fish, home-prepared",,,MIXED_DISHES,16.0,2.26,0.0,0.81,,USDA_FDC_SR_LEGACY,6174,2018-04,True,,soup stock fish home prepared,3,
"Sauce, hoisin, ready-to-serve",,,MIXED_DISHES,220.0,3.31,44.08,3.39,,USDA_FDC_SR_LEGACY,6175,2018-04,True,,sauce hoisin ready to serve,3,
"Soup, cream of mushroom, canned, condensed, reduced sodium",,,MIXED_DISHES,52.0,1.21,8.1,1.69,,USDA_FDC_SR_LEGACY,6182,2018-04,True,,soup cream of mushroom canned condensed reduced sodium,3,
"Soup, chicken broth, less/reduced sodium, ready to serve",,,MIXED_DISHES,7.0,1.36,0.38,0.0,,USDA_FDC_SR_LEGACY,6183,2018-04,True,,soup chicken broth less reduced sodium ready to serve,3,
"Soup, beef broth, less/reduced sodium, ready to serve",,,MIXED_DISHES,6.0,1.14,0.2,0.07,,USDA_FDC_SR_LEGACY,6188,2018-04,True,,soup beef broth less reduced sodium ready to serve,3,
"Sauce, teriyaki, ready-to-serve, reduced sodium",,,MIXED_DISHES,89.0,5.93,15.58,0.02,,USDA_FDC_SR_LEGACY,6189,2018-04,True,,sauce teriyaki ready to serve reduced sodium,3,
"Soup, cream of asparagus, canned, prepared with equal volume milk",,,MIXED_DISHES,65.0,2.55,6.61,3.3,,USDA_FDC_SR_LEGACY,6201,2018-04,True,,soup cream of asparagus canned prepared with equal volume milk,3,
"Soup, chicken vegetable with potato and cheese, chunky, ready-to-serve",,,MIXED_DISHES,65.0,1.16,5.2,4.46,,USDA_FDC_SR_LEGACY,6208,2018-04,True,,soup chicken vegetable with potato and cheese chunky ready to serve,3,
"Soup, cream of celery, canned, prepared with equal volume milk",,,MIXED_DISHES,66.0,2.29,5.86,3.91,,USDA_FDC_SR_LEGACY,6210,2018-04,True,,soup cream of celery canned prepared with equal volume milk,3,
"Soup, cheese, canned, prepared with equal volume milk",,,MIXED_DISHES,92.0,3.77,6.47,5.8,,USDA_FDC_SR_LEGACY,6211,2018-04,True,,soup cheese canned prepared with equal volume milk,3,
"Soup, oyster stew, canned, prepared with equal volume milk",,,MIXED_DISHES,55.0,2.51,3.99,3.24,,USDA_FDC_SR_LEGACY,6248,2018-04,True,,soup oyster stew canned prepared with equal volume milk,3,
"Soup, pea, green, canned, prepared with equal volume milk",,,MIXED_DISHES,94.0,4.97,12.69,2.77,,USDA_FDC_SR_LEGACY,6249,2018-04,True,,soup pea green canned prepared with equal volume milk,3,
"Soup, cream of potato, canned, prepared with equal volume milk",,,MIXED_DISHES,60.0,2.33,6.92,2.6,,USDA_FDC_SR_LEGACY,6253,2018-04,True,,soup cream of potato canned prepared with equal volume milk,3,
"Soup, cream of shrimp, canned, prepared with equal volume low fat (2%) milk",,,MIXED_DISHES,61.0,2.78,5.64,3.23,,USDA_FDC_SR_LEGACY,6256,2018-04,True,,soup cream of shrimp canned prepared with equal volume low fat 2 milk,3,
"Soup, HEALTHY CHOICE Chicken and Rice Soup, canned",,,MIXED_DISHES,37.0,2.53,5.71,0.55,,USDA_FDC_SR_LEGACY,6315,2018-04,True,,soup healthy choice chicken and rice soup canned,3,
"Soup, HEALTHY CHOICE Garden Vegetable Soup, canned",,,MIXED_DISHES,51.0,2.13,10.04,0.21,,USDA_FDC_SR_LEGACY,6316,2018-04,True,,soup healthy choice garden vegetable soup canned,3,
"CAMPBELL'S, Cream of Mushroom Soup, condensed",,,MIXED_DISHES,81.0,1.29,6.59,5.5,,USDA_FDC_SR_LEGACY,6338,2018-04,True,,campbell s cream of mushroom soup condensed,3,
"Soup, tomato bisque, canned, prepared with equal volume milk",,,MIXED_DISHES,79.0,2.51,11.73,2.63,,USDA_FDC_SR_LEGACY,6358,2018-04,True,,soup tomato bisque canned prepared with equal volume milk,3,
"Soup, black bean, canned, prepared with equal volume water",,,MIXED_DISHES,46.0,2.42,7.71,0.66,,USDA_FDC_SR_LEGACY,6402,2018-04,True,,soup black bean canned prepared with equal volume water,3,
"Soup, bean with pork, canned, prepared with equal volume water",,,MIXED_DISHES,63.0,2.88,8.31,2.16,,USDA_FDC_SR_LEGACY,6404,2018-04,True,,soup bean with pork canned prepared with equal volume water,3,
"Soup, bean with frankfurters, canned, prepared with equal volume water",,,MIXED_DISHES,75.0,3.99,8.8,2.79,,USDA_FDC_SR_LEGACY,6406,2018-04,True,,soup bean with frankfurters canned prepared with equal volume water,3,
"Soup, beef noodle, canned, prepared with equal volume water",,,MIXED_DISHES,34.0,1.93,3.58,1.23,,USDA_FDC_SR_LEGACY,6409,2018-04,True,,soup beef noodle canned prepared with equal volume water,3,
"Soup, cream of celery, canned, prepared with equal volume water",,,MIXED_DISHES,37.0,0.68,3.62,2.29,,USDA_FDC_SR_LEGACY,6410,2018-04,True,,soup cream of celery canned prepared with equal volume water,3,
"Soup, chicken gumbo, canned, prepared with equal volume water",,,MIXED_DISHES,23.0,1.08,3.43,0.59,,USDA_FDC_SR_LEGACY,6417,2018-04,True,,soup chicken gumbo canned prepared with equal volume water,3,
"Soup, chicken noodle, canned, prepared with equal volume water",,,MIXED_DISHES,24.0,1.16,2.97,0.76,,USDA_FDC_SR_LEGACY,6419,2018-04,True,,soup chicken noodle canned prepared with equal volume water,3,
"Soup, chicken with rice, canned, prepared with equal volume water",,,MIXED_DISHES,24.0,1.45,2.92,0.78,,USDA_FDC_SR_LEGACY,6423,2018-04,True,,soup chicken with rice canned prepared with equal volume water,3,
"Soup, chili beef, canned, prepared with equal volume water",,,MIXED_DISHES,57.0,2.49,9.23,1.24,,USDA_FDC_SR_LEGACY,6426,2018-04,True,,soup chili beef canned prepared with equal volume water,3,
"CAMPBELL'S CHUNKY, Old Fashioned Vegetable Beef Soup",,,MIXED_DISHES,49.0,3.16,6.24,1.23,,USDA_FDC_SR_LEGACY,6434,2018-04,True,,campbell s chunky old fashioned vegetable beef soup,3,
"Soup, minestrone, canned, prepared with equal volume water",,,MIXED_DISHES,34.0,1.77,4.66,1.04,,USDA_FDC_SR_LEGACY,6440,2018-04,True,,soup minestrone canned prepared with equal volume water,3,
"Soup, mushroom barley, canned, prepared with equal volume water",,,MIXED_DISHES,30.0,0.77,4.8,0.93,,USDA_FDC_SR_LEGACY,6442,2018-04,True,,soup mushroom barley canned prepared with equal volume water,3,
"Soup, cream of mushroom, canned, prepared with equal volume water",,,MIXED_DISHES,39.0,0.66,3.33,2.59,,USDA_FDC_SR_LEGACY,6443,2018-04,True,,soup cream of mushroom canned prepared with equal volume water,3,
"Soup, pea, split with ham, canned, prepared with equal volume water",,,MIXED_DISHES,75.0,4.08,11.05,1.74,,USDA_FDC_SR_LEGACY,6451,2018-04,True,,soup pea split with ham canned prepared with equal volume water,3,
"Soup, cream of potato, canned, prepared with equal volume water",,,MIXED_DISHES,30.0,0.72,4.7,0.97,,USDA_FDC_SR_LEGACY,6453,2018-04,True,,soup cream of potato canned prepared with equal volume water,3,
"Soup, cream of shrimp, canned, prepared with equal volume water",,,MIXED_DISHES,36.0,1.11,3.27,2.07,,USDA_FDC_SR_LEGACY,6456,2018-04,True,,soup cream of shrimp canned prepared with equal volume water,3,
"Soup, tomato beef with noodle, canned, prepared with equal volume water",,,MIXED_DISHES,56.0,1.78,8.44,1.71,,USDA_FDC_SR_LEGACY,6461,2018-04,True,,soup tomato beef with noodle canned prepared with equal volume water,3,
"Soup, tomato rice, canned, prepared with equal volume water",,,MIXED_DISHES,47.0,0.82,8.54,1.06,,USDA_FDC_SR_LEGACY,6463,2018-04,True,,soup tomato rice canned prepared with equal volume water,3,
"Soup, vegetable with beef broth, canned, prepared with equal volume water",,,MIXED_DISHES,33.0,1.21,5.35,0.78,,USDA_FDC_SR_LEGACY,6472,2018-04,True,,soup vegetable with beef broth canned prepared with equal volume water,3,
"Soup, beef broth or bouillon, powder, prepared with water",,,MIXED_DISHES,3.0,0.21,0.25,0.08,,USDA_FDC_SR_LEGACY,6475,2018-04,True,,soup beef broth or bouillon powder prepared with water,3,
"Soup, beef broth, cubed, prepared with water",,,MIXED_DISHES,3.0,0.21,0.25,0.08,,USDA_FDC_SR_LEGACY,6476,2018-04,True,,soup beef broth cubed prepared with water,3,
"Soup, chicken broth or bouillon, dry, prepared with water",,,MIXED_DISHES,4.0,0.28,0.3,0.23,,USDA_FDC_SR_LEGACY,6480,2018-04,True,,soup chicken broth or bouillon dry prepared with water,3,
"Soup, chicken noodle, dry, mix, prepared with water",,,MIXED_DISHES,23.0,0.84,3.67,0.55,,USDA_FDC_SR_LEGACY,6528,2018-04,True,,soup chicken noodle dry mix prepared with water,3,
"Soup, clam chowder, new england, canned, ready-to-serve",,,MIXED_DISHES,79.0,2.61,8.28,3.94,,USDA_FDC_SR_LEGACY,27042,2018-04,True,,soup clam chowder new england canned ready to serve,3,
"Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve",,,MIXED_DISHES,70.0,2.33,5.68,4.23,,USDA_FDC_SR_LEGACY,27043,2018-04,True,,soup clam chowder new england reduced sodium canned ready to serve,3,
"Soup, chicken noodle, reduced sodium, canned, ready-to-serve",,,MIXED_DISHES,41.0,3.29,3.84,1.34,,USDA_FDC_SR_LEGACY,27044,2018-04,True,,soup chicken noodle reduced sodium canned ready to serve,3,
"Soup, beef and vegetables, reduced sodium, canned, ready-to-serve",,,MIXED_DISHES,42.0,3.26,4.99,0.95,,USDA_FDC_SR_LEGACY,27045,2018-04,True,,soup beef and vegetables reduced sodium canned ready to serve,3,
