name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at
"Alcoholic beverage, pina colada, prepared-from-recipe",,,BEVERAGES,174.0,0.42,22.66,1.88,,USDA_FDC_SR_LEGACY,14017,2018-04,True,
"Alcoholic beverage, rice (sake)",,,BEVERAGES,134.0,0.5,5.0,0.0,,USDA_FDC_SR_LEGACY,43479,2018-04,True,
"Alcoholic beverage, tequila sunrise, canned",,,BEVERAGES,110.0,0.3,11.3,0.1,,USDA_FDC_SR_LEGACY,14019,2018-04,True,
"Alcoholic beverage, whiskey sour",,,BEVERAGES,149.0,0.0,13.17,0.03,,USDA_FDC_SR_LEGACY,14531,2018-04,True,
"Alcoholic beverage, whiskey sour, canned",,,BEVERAGES,119.0,0.0,13.4,0.0,,USDA_FDC_SR_LEGACY,14027,2018-04,True,
"Alcoholic beverage, whiskey sour, prepared from item 14028",,,BEVERAGES,153.0,0.06,12.82,0.06,,USDA_FDC_SR_LEGACY,14029,2018-04,True,
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",,,BEVERAGES,164.0,0.1,15.85,0.02,,USDA_FDC_SR_LEGACY,14025,2018-04,True,
"Alcoholic beverage, wine, cooking",,,BEVERAGES,50.0,0.5,6.3,0.0,,USDA_FDC_SR_LEGACY,43154,2018-04,True,
"Alcoholic beverage, wine, dessert, dry",,,BEVERAGES,152.0,0.2,11.67,0.0,,USDA_FDC_SR_LEGACY,14536,2018-04,True,
"Alcoholic beverage, wine, dessert, sweet",,,BEVERAGES,160.0,0.2,13.69,0.0,,USDA_FDC_SR_LEGACY,14057,2018-04,True,
"Alcoholic beverage, wine, light",,,BEVERAGES,49.0,0.07,1.17,0.0,,USDA_FDC_SR_LEGACY,43155,2018-04,True,
"Alcoholic beverage, wine, table, all",,,BEVERAGES,83.0,0.07,2.72,0.0,,USDA_FDC_SR_LEGACY,14084,2018-04,True,
